Compound,Pose,CNNscore,CNNaffinity,CNN_VS
DB11363,Pose_2,0.736775458,6.99639559,5.15477256517143
DB00697,Pose_2,0.853078306,6.04251909,5.154741949269861
DB03761,Pose_1,0.902560651,5.71098137,5.154507063156072
DB11736,Pose_1,0.809740186,6.36484098,5.1538675190056225
DB12588,Pose_1,0.779387891,6.60965347,5.1514838782241315
DB18866,Pose_1,0.780323863,6.60170364,5.151466886745961
DB07901,Pose_1,0.846095979,6.08827448,5.151264556576316
DB07903,Pose_1,0.868942976,5.92731142,5.150495624973586
DB01640,Pose_1,0.756998003,6.80310106,5.149933916627183
DB18706,Pose_1,0.86333406,5.96460485,5.14944652144619
DB01106,Pose_1,0.76292783,6.74336863,5.144703595775972
DB06077,Pose_2,0.819002807,6.28166199,5.144698802435206
DB08537,Pose_1,0.829513013,6.20197725,5.144620835204954
DB04761,Pose_2,0.855599582,6.01191568,5.143792542827246
DB08031,Pose_1,0.780151129,6.59216833,5.142887565207545
DB11902,Pose_1,0.756921768,6.79280233,5.14161994929812
DB05424,Pose_1,0.756757557,6.79402351,5.141428633628165
DB03671,Pose_1,0.826079965,6.22181559,5.139717204823655
DB07318,Pose_3,0.819940805,6.26759529,5.139057127496809
DB12414,Pose_1,0.738669276,6.9524765,5.135580782662014
DB12848,Pose_1,0.834363878,6.15399122,5.134667979497151
DB07217,Pose_1,0.81238699,6.31946325,5.133849728083118
DB00232,Pose_1,0.884123683,5.80656576,5.133722305312894
DB11681,Pose_1,0.834277928,6.1517024,5.132229531944627
DB11691,Pose_1,0.737519503,6.95655107,5.130592087740518
DB08066,Pose_1,0.863862216,5.93758154,5.129252346825092
DB17061,Pose_1,0.853136599,6.01197577,5.129036561688207
DB15425,Pose_1,0.87264061,5.87571764,5.127389825557361
DB11878,Pose_1,0.742097616,6.90928459,5.127363622504538
DB19033,Pose_1,0.850701392,6.02507734,5.125541680045657
DB17033,Pose_1,0.781415045,6.5590682,5.1253545726610685
DB17031,Pose_1,0.800796688,6.39980507,5.124942703901609
DB12687,Pose_1,0.808911264,6.33358383,5.123307301575261
DB13689,Pose_1,0.79058367,6.47960138,5.122667039137465
DB07165,Pose_1,0.800801098,6.39691734,5.122658429687239
DB02647,Pose_1,0.894137323,5.7281251,5.121730442723107
DB14902,Pose_1,0.727026641,7.03956175,5.117948933214582
DB13350,Pose_2,0.854410112,5.98999929,5.117915964248821
DB01048,Pose_2,0.848888159,6.02783632,5.116958876438135
DB09242,Pose_2,0.875037491,5.84713936,5.116466155101746
DB01092,Pose_1,0.846778095,6.04031229,5.114804134131288
DB13994,Pose_2,0.792728961,6.45059204,5.113571125704071
DB04920,Pose_1,0.81341666,6.28575897,5.11294106694244
DB00730,Pose_1,0.934716702,5.469944,5.112848015804688
DB07168,Pose_2,0.718617976,7.1111331,5.1101880753886055
DB04719,Pose_1,0.800624013,6.38068342,5.1085283654029645
DB06075,Pose_1,0.819685459,6.23081541,5.107308789290123
DB05881,Pose_1,0.920193136,5.54981089,5.106897887076051
DB02950,Pose_1,0.882618845,5.78586149,5.106710385633779
DB13029,Pose_1,0.81417352,6.26967573,5.10460395835267
DB09133,Pose_1,0.853824377,5.97743845,5.103682660627096
DB08072,Pose_1,0.795600891,6.41298294,5.1021749410318
DB16936,Pose_1,0.823390961,6.19538689,5.101225565123901
DB04704,Pose_1,0.732586801,6.96327829,5.10120576694385
DB12946,Pose_2,0.858371615,5.9409256,5.0995219018668445
DB13842,Pose_1,0.917403042,5.55457258,5.095781781901788
DB17129,Pose_1,0.771593571,6.60187531,5.093964545739632
DB08534,Pose_2,0.821919143,6.19541216,5.092127853078979
DB14672,Pose_1,0.887783945,5.73500299,5.091443579048995
DB04720,Pose_1,0.770597696,6.60378027,5.088857860952258
DB06626,Pose_2,0.773155272,6.58014441,5.08747334111283
DB15493,Pose_1,0.780725837,6.51226473,5.084293332094829
DB08393,Pose_1,0.83687222,6.0747714,5.083807427510509
DB06144,Pose_1,0.789190471,6.4415288,5.083593147632064
DB07655,Pose_1,0.830276549,6.12204695,5.082992014461976
DB08877,Pose_1,0.796816468,6.3789382,5.082843006114278
DB16237,Pose_1,0.681046486,7.46158457,5.0816859513903205
DB13866,Pose_1,0.827607751,6.13983393,5.081374150320791
DB02915,Pose_1,0.824718297,6.16117859,5.081236714257661
DB16076,Pose_1,0.818120539,6.21004915,5.080568757814492
DB16344,Pose_1,0.816107452,6.22431231,5.079707659766334
DB04706,Pose_1,0.760211468,6.68070555,5.078748973441247
DB16690,Pose_1,0.77368784,6.56390905,5.078416614850952
DB00527,Pose_1,0.822103262,6.17528582,5.076722616404345
DB00654,Pose_1,0.81807369,6.20555162,5.076598512258877
DB18251,Pose_1,0.72031337,7.04709864,5.076119370100816
DB16255,Pose_1,0.788219273,6.43593216,5.07292576823252
DB18080,Pose_1,0.699626446,7.25076723,5.072828507898165
DB00687,Pose_1,0.814861655,6.22441101,5.0720338570088215
DB18879,Pose_1,0.832118988,6.09368277,5.070669139765436
DB17097,Pose_1,0.773632348,6.5529294,5.069558158000231
DB12479,Pose_1,0.842305243,6.01658106,5.067797771772497
DB04690,Pose_1,0.841130257,6.02443695,5.067336200033796
DB08721,Pose_1,0.815778434,6.2104969,5.066389435443855
DB18865,Pose_1,0.817487359,6.19670343,5.065726721496942
DB02278,Pose_1,0.910553932,5.56233788,5.064808627746545
DB04142,Pose_1,0.762377977,6.64330864,5.064712201549821
DB12830,Pose_1,0.80470413,6.29381514,5.064659036614528
DB16063,Pose_1,0.831222951,6.09283972,5.0645082120284135
DB04114,Pose_1,0.836553991,6.05317163,5.063804885284475
DB16625,Pose_1,0.783726871,6.46010971,5.062961569335018
DB07584,Pose_1,0.782541037,6.46848822,5.061857479501084
DB13122,Pose_1,0.912866473,5.54437256,5.061271823845181
DB03837,Pose_1,0.760154307,6.65769577,5.060876114261181
DB18737,Pose_1,0.717046738,7.05026102,5.055366666439553
DB08676,Pose_1,0.715253472,7.06725931,5.054881759001824
DB17297,Pose_1,0.771607757,6.55094671,5.054761297129629
DB06963,Pose_1,0.754196763,6.7010932,5.053942800001312
DB08077,Pose_1,0.790275931,6.39514017,5.053925351722249
DB01958,Pose_1,0.789584339,6.40038681,5.053645188718169
DB12106,Pose_1,0.81978333,6.16411972,5.053242590580268
DB04288,Pose_1,0.843860388,5.98696899,5.0521659748453684
DB07078,Pose_1,0.83302778,6.06178522,5.049635484653412
DB12962,Pose_2,0.691725135,7.29872513,5.048711625877143
DB06191,Pose_1,0.861283302,5.860641,5.047672232316582
DB13954,Pose_2,0.794374585,6.35409975,5.047535351954854
DB05294,Pose_1,0.753952622,6.69348478,5.046570400198093
DB01184,Pose_1,0.809974253,6.2262311,5.043086884227868
DB12725,Pose_1,0.81651485,6.17607069,5.042853433034747
DB01205,Pose_1,0.885869682,5.69247866,5.042794260325986
DB13520,Pose_1,0.871945202,5.78261232,5.042121067450089
DB08204,Pose_3,0.794965863,6.34255981,5.042118532985766
DB16826,Pose_1,0.86827004,5.80614662,5.041303157993265
DB13661,Pose_1,0.956396699,5.26914406,5.039391985539458
DB18012,Pose_1,0.729251623,6.90834045,5.03791848539905
DB17634,Pose_2,0.798241615,6.31011772,5.036998559652918
DB09010,Pose_1,0.896789789,5.61616707,5.036521281694048
DB06127,Pose_1,0.87935704,5.72716904,5.036226414594042
DB08512,Pose_3,0.735361576,6.84640312,5.034581788254517
DB00899,Pose_1,0.919514596,5.47492838,5.034276557464634
DB18041,Pose_1,0.795276284,6.32886362,5.033195141656388
DB05226,Pose_1,0.845976293,5.94911432,5.0328096790668155
DB14941,Pose_1,0.799503922,6.29245758,5.030844514228629
DB11747,Pose_1,0.702730179,7.15835762,5.030393931648614
DB16889,Pose_1,0.860873401,5.8426528,5.029784386798172
DB12792,Pose_1,0.858356118,5.85893869,5.029055869548405
DB06948,Pose_1,0.824914098,6.0962472,5.028880260173025
DB15323,Pose_1,0.822494984,6.11254311,5.02753604745876
DB14674,Pose_3,0.727988243,6.90541315,5.027059586257596
DB06169,Pose_2,0.724335909,6.93747902,5.0250651721201285
DB05659,Pose_1,0.848718643,5.92009544,5.024495368267288
DB14652,Pose_1,0.741775453,6.77287865,5.023955128717779
DB09008,Pose_2,0.847019017,5.93087149,5.023560939413126
DB05039,Pose_1,0.807865679,6.21691465,5.022431975007296
DB00835,Pose_1,0.843989074,5.95044947,5.02211433806909
DB00405,Pose_1,0.843989074,5.95044947,5.02211433806909
