molecule_name,delta_g_inter,dg_inter_sum,dg_inter_max,hbond_percent,moderate_attr_percent,vdw_percent,clash_percent,hbond_strength,clash_strength,favorable_strength,n_interaction_points,n_ligand_atoms
DB00751_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.247578,3.015462,0.058841,9.52381,5.714286,79.68254,5.079365,0.548134,0.192099,1.871839,315,34
DB00760_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.541654,2.782363,0.029497,3.076923,6.461538,88.615385,1.846154,0.074026,0.048348,1.570161,325,51
DB00764_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.691088,2.187066,0.073992,6.425703,4.417671,87.148594,2.008032,0.344965,0.09063,1.293837,249,56
DB00766_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.782994,2.969886,0.098975,13.214286,7.142857,74.642857,5.0,0.705003,0.211272,1.861786,280,23
DB00769_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.396885,3.336374,0.092936,8.077994,3.62117,86.629526,1.671309,0.479284,0.101508,1.945916,359,75
DB00777_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.770483,1.99642,0.025127,0.0,4.4,95.6,0.0,0.0,0.0,1.2422,250,48
DB00787_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.551897,3.881378,0.058502,10.501193,5.48926,80.906921,3.102625,0.687656,0.191823,2.123265,419,27
DB00800_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.506471,2.095671,0.02453,2.0,6.0,92.0,0.0,0.040088,0.0,1.224748,250,37
DB00801_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.439757,2.572911,0.023423,0.615385,4.0,94.769231,0.615385,0.025428,0.014107,1.513042,325,36
DB00806_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.471997,3.179868,0.030257,3.581267,6.060606,89.53168,0.826446,0.107259,0.021921,1.871819,363,38
DB00807_pose5_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.589054,1.950492,0.023741,0.404858,2.42915,95.951417,1.214575,0.006788,0.016652,1.209872,247,47
DB00810_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.499258,2.884492,0.03989,3.746398,3.458213,91.642651,1.152738,0.175157,0.067802,1.727167,347,54
DB00811_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.901059,2.913512,0.060252,7.028754,7.348243,84.345048,1.277955,0.343095,0.051978,1.78018,313,29
DB00824_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.116232,1.898041,0.026318,1.809955,7.239819,90.045249,0.904977,0.025639,0.021871,1.221381,221,24
DB00834_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.350047,3.129621,0.029098,2.150538,5.645161,91.666667,0.537634,0.062642,0.01487,1.893214,372,67
DB00835_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.288652,2.869043,0.078835,5.610561,6.60066,80.858086,6.930693,0.378476,0.261711,1.693275,303,38
DB00841_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.182853,2.161197,0.018374,0.350877,1.754386,97.54386,0.350877,0.006168,0.007156,1.417251,285,45
DB00844_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.257304,1.738447,0.035001,1.388889,6.481481,92.12963,0.0,0.023727,0.0,0.990273,216,53
DB00845_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.086181,2.158812,0.016441,0.0,0.70922,97.87234,1.41844,0.0,0.022669,1.09078,282,57
DB00846_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.189892,2.5834,0.024845,0.316456,3.797468,93.670886,2.21519,0.005533,0.04299,1.536704,316,64
DB00849_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.806038,2.276189,0.025124,0.357143,3.571429,95.357143,0.714286,0.007956,0.012958,1.349108,280,32
DB00858_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.456169,2.01897,0.029178,2.575107,11.158798,84.978541,1.287554,0.047182,0.021973,1.171426,233,54
DB00872_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.767671,3.366509,0.069878,5.540897,3.957784,88.918206,1.583113,0.338084,0.089278,1.95941,379,64
DB00878_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.84823,2.768786,0.044109,5.095541,3.503185,90.127389,1.273885,0.14306,0.050343,1.692462,314,64
DB00882_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.102121,1.851607,0.021188,0.0,3.433476,93.133047,3.433476,0.0,0.063673,1.065981,233,57
DB00889_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.313594,2.901643,0.040922,6.104651,4.069767,87.209302,2.616279,0.232874,0.086024,1.457349,344,47
DB00896_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.536904,1.729052,0.020616,0.471698,7.075472,91.509434,0.943396,0.005415,0.012815,1.026448,212,61
DB00899_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.05693,1.992999,0.028835,3.75,5.0,88.75,2.5,0.055618,0.037235,1.133991,240,55
DB00900_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.695294,2.662118,0.045268,9.375,4.166667,84.027778,2.430556,0.381299,0.093049,1.416308,288,29
DB00916_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.478208,2.520437,0.039118,9.727626,8.949416,77.821012,3.501946,0.336431,0.101252,1.572775,257,21
